pitcher,pitch_types,best_k,best_adj_rand,n_years,n_pitches
"Miller, Mason","FF,SL,CH,FC",2,0.961,3,2512
"Pepiot, Ryan","FF,CH,SL,FC,CU,SI",5,0.836,4,5808
"Sears, JP","FF,ST,CH,SL,SI,CU",3,0.792,4,8866
"Gausman, Kevin","FF,FS,SL,CH,SI",3,0.737,10,26386
"Manaea, Sean","SI,FF,CH,SL,ST,FC",3,0.719,10,19398
"Sale, Chris","SL,FF,SI,CH",3,0.701,9,18930
"deGrom, Jacob","FF,SL,CH,SI,CU",3,0.692,10,17403
"Glasnow, Tyler","FF,CU,SL,SI,CH",4,0.678,10,12565
"Almonte, Yency","FF,ST,SL,SI,CH,FC",2,0.677,7,3531
"Anderson, Tyler","FF,CH,FC,SI,CU,SL",6,0.674,10,19608
"Cease, Dylan","FF,SL,KC,CH,ST,SI",3,0.673,7,17614
"McKenzie, Triston","FF,SL,CU,CH",2,0.658,6,6893
"Skenes, Paul","FF,FS,ST,CH,CU,SI,SL",4,0.648,2,4944
"Scherzer, Max","FF,SL,CH,CU,FC",5,0.642,10,23801
"Crochet, Garrett","FF,FC,ST,SI,CH,SL",6,0.638,5,6766
"Singer, Brady","SI,SL,FF,CH,ST,FC",4,0.624,6,13675
"Webb, Logan","SI,CH,ST,FF,FC",5,0.613,7,16002
"Ober, Bailey","FF,CH,SL,ST,CU,SI",4,0.606,5,9403
"Nola, Aaron","FF,KC,SI,CH,FC,CU",4,0.602,10,26004
"Walker, Taijuan","FF,FS,SI,FC,CU,SL,ST",7,0.589,9,16717
"Houck, Tanner","SI,SL,ST,FS,FF,FC",2,0.585,6,7182
"Miller, Bryce","FF,SI,FS,SL,ST,KC,CH,FC",3,0.569,3,6286
"Verlander, Justin","FF,SL,CU,CH,ST,FC",5,0.568,8,24506
"Sánchez, Cristopher","SI,CH,SL",2,0.565,5,8003
"Cole, Gerrit","FF,SL,KC,CH,SI,FC",4,0.552,9,24868
"Kirby, George","FF,SI,SL,KC,FS,CH,FC",3,0.549,4,10031
"Burnes, Corbin","FC,CU,SL,CH,SI,FF,ST",4,0.541,8,15023
"Gilbert, Logan","FF,SL,FS,KC,CU,CH,FC,SI",6,0.529,5,13106
"Pfaadt, Brandon","FF,ST,SI,CH,CU,FC",4,0.51,3,7371
"Gibson, Kyle","SI,FF,CH,SL,CU,FC,ST",5,0.477,10,22469
"Kershaw, Clayton","FF,SL,CU,FS,CH,SI",4,0.472,10,19009
"Suarez, Ranger","SI,CH,FF,CU,FC,SL",3,0.455,8,12077
"Wheeler, Zack","FF,SI,FC,CU,ST,CH,FS",7,0.443,9,23109
"Detmers, Reid","FF,SL,CU,CH,SI,ST",5,0.433,5,7414
"Buehler, Walker","FF,FC,KC,SI,SL,ST,CH",6,0.413,8,14371
"Mikolas, Miles","FF,SL,SI,CU,CH,ST,CS",7,0.402,7,17692
"Lugo, Seth","FF,CU,SI,SL,CH,FC,SV,ST,CS,FS",6,0.37,10,15426
"Darvish, Yu","FF,SL,ST,SI,FC,CU,FS,KC,CH",4,0.366,10,19415
"Skubal, Tarik","FF,CH,SL,SI,CU,FS",6,0.353,6,12070
